I0,I1,I2
0.0902,-0.4433,1.5919
0.0897,-0.4436,1.5950
0.0886,-0.4442,1.5977
0.0883,-0.4446,1.5990
0.0871,-0.4449,1.6002
0.0879,-0.4436,1.6021
0.0889,-0.4440,1.6048
0.0892,-0.4442,1.6070
0.0885,-0.4427,1.6075
0.0893,-0.4426,1.6101
0.0882,-0.4419,1.6129
0.0875,-0.4429,1.6155
0.0862,-0.4429,1.6166
0.0867,-0.4426,1.6188
0.0877,-0.4445,1.6215
0.0870,-0.4458,1.6225
0.0862,-0.4446,1.6252
0.0863,-0.4436,1.6268
0.0854,-0.4430,1.6291
0.0852,-0.4414,1.6312
0.0846,-0.4435,1.6333
0.0842,-0.4445,1.6356
0.0834,-0.4446,1.6382
0.0833,-0.4439,1.6405
0.0832,-0.4431,1.6432
0.0837,-0.4419,1.6450
0.0832,-0.4439,1.6456
0.0833,-0.4441,1.6463
0.0821,-0.4454,1.6484
0.0812,-0.4440,1.6506
0.0815,-0.4452,1.6534
0.0806,-0.4452,1.6568
0.0815,-0.4449,1.6590
0.0823,-0.4437,1.6605
0.0826,-0.4429,1.6612
0.0830,-0.4431,1.6637
0.0836,-0.4438,1.6658
0.0836,-0.4461,1.6684
0.0842,-0.4465,1.6700
0.0863,-0.4450,1.6723
0.0867,-0.4442,1.6744
0.0862,-0.4448,1.6767
0.0884,-0.4436,1.6783
0.0887,-0.4435,1.6797
0.0884,-0.4446,1.6829
0.0892,-0.4456,1.6855
0.0889,-0.4443,1.6865
0.0893,-0.4470,1.6901
0.0890,-0.4475,1.6923
0.0882,-0.4491,1.6932
0.0870,-0.4491,1.6960
0.0862,-0.4492,1.6981
0.0868,-0.4480,1.6995
0.0869,-0.4469,1.7024
0.0866,-0.4477,1.7041
0.0850,-0.4509,1.7057
0.0841,-0.4533,1.7081
0.0838,-0.4530,1.7100
0.0834,-0.4533,1.7122
0.0842,-0.4546,1.7137
0.0855,-0.4547,1.7152
0.0858,-0.4546,1.7166
0.0853,-0.4566,1.7181
0.0841,-0.4559,1.7201
0.0828,-0.4545,1.7234
0.0822,-0.4527,1.7271
0.0823,-0.4526,1.7297
0.0819,-0.4533,1.7320
0.0814,-0.4530,1.7348
0.0811,-0.4527,1.7368
0.0815,-0.4539,1.7391
0.0808,-0.4535,1.7420
0.0796,-0.4526,1.7450
0.0793,-0.4498,1.7469
0.0809,-0.4494,1.7488
0.0808,-0.4512,1.7516
0.0802,-0.4532,1.7533
0.0807,-0.4535,1.7567
0.0803,-0.4540,1.7581
0.0814,-0.4544,1.7599
0.0828,-0.4536,1.7634
0.0830,-0.4559,1.7653
0.0832,-0.4567,1.7680
0.0838,-0.4563,1.7709
0.0836,-0.4547,1.7722
0.0842,-0.4558,1.7746
0.0856,-0.4570,1.7767
0.0870,-0.4583,1.7771
0.0880,-0.4592,1.7776
0.0869,-0.4578,1.7805
0.0871,-0.4592,1.7834
0.0874,-0.4589,1.7854
0.0855,-0.4606,1.7868
0.0848,-0.4596,1.7898
0.0849,-0.4591,1.7919
0.0838,-0.4586,1.7939
0.0825,-0.4588,1.7968
0.0831,-0.4576,1.7992
0.0840,-0.4578,1.8003
0.0846,-0.4568,1.8024
0.0848,-0.4577,1.8058
0.0855,-0.4577,1.8075
0.0845,-0.4574,1.8096
0.0849,-0.4589,1.8123
0.0850,-0.4591,1.8155
0.0847,-0.4605,1.8171
0.0842,-0.4605,1.8194
0.0843,-0.4591,1.8213
0.0854,-0.4587,1.8229
0.0866,-0.4583,1.8248
0.0868,-0.4582,1.8280
0.0866,-0.4585,1.8293
0.0860,-0.4579,1.8328
0.0859,-0.4577,1.8355
0.0857,-0.4580,1.8371
0.0838,-0.4589,1.8381
0.0835,-0.4603,1.8400
0.0841,-0.4620,1.8414
0.0839,-0.4635,1.8432
0.0840,-0.4632,1.8452
0.0843,-0.4629,1.8471
0.0856,-0.4609,1.8494
0.0856,-0.4593,1.8507
0.0852,-0.4597,1.8529
0.0852,-0.4602,1.8550
0.0864,-0.4630,1.8571
0.0863,-0.4638,1.8583
0.0859,-0.4631,1.8610
0.0851,-0.4609,1.8623
0.0848,-0.4591,1.8640
0.0856,-0.4592,1.8670
0.0845,-0.4587,1.8697
0.0849,-0.4588,1.8710
0.0855,-0.4592,1.8721
0.0849,-0.4608,1.8743
0.0862,-0.4613,1.8753
0.0862,-0.4644,1.8788
0.0870,-0.4668,1.8802
0.0860,-0.4665,1.8828
0.0877,-0.4662,1.8845
0.0874,-0.4670,1.8858
0.0885,-0.4690,1.8872
0.0891,-0.4709,1.8892
0.0896,-0.4723,1.8919
0.0892,-0.4737,1.8940
0.0899,-0.4746,1.8972
0.0895,-0.4755,1.9005
0.0881,-0.4751,1.9023
0.0879,-0.4749,1.9048
0.0888,-0.4733,1.9067
0.0897,-0.4730,1.9078
0.0895,-0.4707,1.9114
0.0883,-0.4714,1.9139
0.0885,-0.4738,1.9158
0.0886,-0.4743,1.9184
0.0871,-0.4739,1.9225
0.0876,-0.4745,1.9238
0.0878,-0.4729,1.9252
0.0886,-0.4721,1.9273
0.0883,-0.4733,1.9303
0.0880,-0.4742,1.9334
0.0880,-0.4730,1.9366
0.0856,-0.4712,1.9405
0.0853,-0.4717,1.9436
0.0848,-0.4731,1.9449
0.0842,-0.4723,1.9471
0.0835,-0.4713,1.9492
0.0831,-0.4692,1.9529
0.0831,-0.4691,1.9541
0.0819,-0.4707,1.9583
0.0814,-0.4719,1.9607
0.0813,-0.4721,1.9638
0.0814,-0.4717,1.9663
0.0813,-0.4716,1.9688
0.0815,-0.4714,1.9716
0.0808,-0.4726,1.9738
0.0794,-0.4723,1.9754
0.0774,-0.4704,1.9789
0.0756,-0.4702,1.9814
0.0753,-0.4680,1.9821
0.0738,-0.4661,1.9854
0.0722,-0.4657,1.9878
0.0729,-0.4651,1.9899
0.0727,-0.4631,1.9930
0.0738,-0.4623,1.9947
0.0744,-0.4649,1.9967
0.0747,-0.4621,1.9994
0.0755,-0.4620,2.0011
0.0746,-0.4622,2.0050
0.0756,-0.4635,2.0067
0.0770,-0.4635,2.0079
0.0770,-0.4640,2.0109
0.0764,-0.4654,2.0138
0.0755,-0.4649,2.0163
0.0761,-0.4650,2.0185
0.0765,-0.4642,2.0205
0.0762,-0.4639,2.0231
0.0755,-0.4661,2.0250
0.0756,-0.4668,2.0285
0.0758,-0.4677,2.0287
0.0779,-0.4684,2.0308
0.0778,-0.4682,2.0335
0.0778,-0.4675,2.0359
0.0768,-0.4644,2.0389
0.0779,-0.4641,2.0397
0.0789,-0.4653,2.0413
0.0800,-0.4643,2.0440
0.0807,-0.4635,2.0464
0.0806,-0.4635,2.0485
0.0803,-0.4628,2.0503
0.0802,-0.4626,2.0518
0.0803,-0.4616,2.0538
0.0799,-0.4630,2.0559
0.0788,-0.4626,2.0577
0.0789,-0.4625,2.0607
0.0786,-0.4617,2.0636
0.0802,-0.4609,2.0663
0.0812,-0.4577,2.0691
0.0810,-0.4589,2.0712
0.0812,-0.4586,2.0738
0.0817,-0.4568,2.0759
0.0815,-0.4563,2.0776
0.0820,-0.4568,2.0793
0.0835,-0.4573,2.0804
0.0850,-0.4573,2.0836
0.0860,-0.4569,2.0857
0.0865,-0.4567,2.0873
0.0870,-0.4553,2.0890
0.0854,-0.4555,2.0919
0.0843,-0.4554,2.0920
0.0846,-0.4558,2.0952
0.0853,-0.4564,2.0963
0.0845,-0.4549,2.0977
0.0835,-0.4540,2.1002
0.0840,-0.4535,2.1017
0.0854,-0.4533,2.1033
0.0848,-0.4516,2.1073
0.0851,-0.4528,2.1093
0.0846,-0.4509,2.1116
0.0855,-0.4521,2.1114
0.0853,-0.4514,2.1146
0.0851,-0.4494,2.1174
0.0847,-0.4469,2.1184
0.0848,-0.4477,2.1195
0.0837,-0.4489,2.1226
0.0831,-0.4486,2.1256
0.0832,-0.4483,2.1286
0.0820,-0.4494,2.1311
0.0824,-0.4500,2.1336
0.0826,-0.4487,2.1355
0.0829,-0.4472,2.1384
0.0825,-0.4453,2.1403
0.0812,-0.4438,2.1424
0.0800,-0.4436,2.1448
0.0803,-0.4423,2.1476
0.0817,-0.4438,2.1494
0.0830,-0.4429,2.1509
0.0824,-0.4437,2.1535
0.0810,-0.4424,2.1551
0.0807,-0.4418,2.1558
0.0802,-0.4413,2.1576
0.0811,-0.4413,2.1587
0.0826,-0.4404,2.1606
0.0836,-0.4415,2.1627
0.0851,-0.4434,2.1649
0.0861,-0.4438,2.1675
0.0872,-0.4440,2.1695
0.0870,-0.4441,2.1713
0.0862,-0.4423,2.1743
0.0857,-0.4418,2.1767
0.0853,-0.4406,2.1793
0.0852,-0.4401,2.1814
0.0844,-0.4394,2.1837
0.0851,-0.4421,2.1844
0.0850,-0.4431,2.1865
0.0846,-0.4446,2.1878
0.0854,-0.4439,2.1902
0.0843,-0.4429,2.1920
0.0841,-0.4435,2.1937
0.0836,-0.4437,2.1949
0.0849,-0.4443,2.1978
0.0849,-0.4436,2.2012
0.0857,-0.4439,2.2029
0.0859,-0.4429,2.2049
0.0858,-0.4416,2.2079
